Filename,Caption
1000268201_693b08cb0e.jpg,کودک با لباس صورتی در حال صعود مجموعه ای از پله ها به روش ورودی است.
1000268201_693b08cb0e.jpg,دختری که وارد یک ساختمان چوبی می شود.
1000268201_693b08cb0e.jpg,یک دختر کوچک که در حال صعود به یک خانه بازی چوبی است.
1000268201_693b08cb0e.jpg,یک دختر کوچک که از پله ها به خانه بازی خود می رود.
1000268201_693b08cb0e.jpg,یک دختر کوچک با لباس صورتی که به یک کابین چوبی می رود.
1001773457_577c3a7d70.jpg,یک سگ سیاه و یک سگ لکه دار در حال جنگ هستند
1001773457_577c3a7d70.jpg,یک سگ سیاه و یک سگ سه رنگ در جاده با یکدیگر بازی می کنند.
1001773457_577c3a7d70.jpg,یک سگ سیاه و یک سگ سفید با لکه های قهوه ای در خیابان به یکدیگر خیره شده اند.
1001773457_577c3a7d70.jpg,دو سگ از نژادهای مختلف که در جاده به یکدیگر نگاه می کنند.
1001773457_577c3a7d70.jpg,دو سگ در پیاده رو به سمت یکدیگر حرکت می کنند.
1002674143_1b742ab4b8.jpg,یک دختر کوچک پوشیده از رنگ در جلوی رنگین کمان نقاشی شده با دستان خود در یک کاسه قرار دارد.
1002674143_1b742ab4b8.jpg,یک دختر کوچک در مقابل یک رنگین کمان بزرگ رنگ نشسته است.
1002674143_1b742ab4b8.jpg,یک دختر کوچک در چمن با انگشتان دست در مقابل یک بوم سفید با رنگین کمان روی آن بازی می کند.
1002674143_1b742ab4b8.jpg,دختری وجود دارد که رنگهای رنگی جلوی نقاشی رنگین کمان نشسته است.
1002674143_1b742ab4b8.jpg,دختر جوان با رنگ آمیزی در بیرون از چمن.
1003163366_44323f5815.jpg,مردی در حالی که سگش در کنار او نشسته است ، روی نیمکت می گذارد.
1003163366_44323f5815.jpg,مردی روی نیمکت می گذارد که یک سگ سفید نیز به آن گره خورده است.
1003163366_44323f5815.jpg,مردی که روی یک نیمکت در بیرون با یک سگ سفید و سیاه که در کنار او نشسته بود ، می خوابید.
1003163366_44323f5815.jpg,یک مرد بدون پیراهن با سگ خود روی نیمکت پارک دراز کشیده است.
1003163366_44323f5815.jpg,مردی که روی نیمکت نگه داشته می شود سگ سگ که روی زمین نشسته است
1007129816_e794419615.jpg,مردی در کلاه نارنجی که به چیزی بازی می کند.
1007129816_e794419615.jpg,مردی کلاه و عینک نارنجی دارد.
1007129816_e794419615.jpg,مردی با سنج و عینک کلاه رعد اسا دارد.
1007129816_e794419615.jpg,مردی که دارای عینک است ، یک کلاه قلاب بافی می پوشد.
1007129816_e794419615.jpg,مردی که دارای گوش سوراخ شده است ، عینک و کلاه نارنجی پوشیده است.
1007320043_627395c3d8.jpg,کودکی که روی یک طناب بازی می کند.
1007320043_627395c3d8.jpg,یک دختر کوچک که در حال صعود به طناب قرمز است.
1007320043_627395c3d8.jpg,یک دختر کوچک در صورتی از یک پل طناب در پارک صعود می کند.
1007320043_627395c3d8.jpg,یک کودک کوچک روی طناب های قرمز در زمین بازی قرار می گیرد.
1007320043_627395c3d8.jpg,کودک کوچک در یک طناب قرمز در یک زمین بازی صعود می کند.
1009434119_febe49276a.jpg,یک سگ سیاه و سفید در یک باغ چمن دار که توسط یک حصار سفید احاطه شده است ، در حال اجرا است.
1009434119_febe49276a.jpg,یک سگ سیاه و سفید در حال عبور از چمن است.
1009434119_febe49276a.jpg,یک تریر بوستون در چمن در حال اجرا است.
1009434119_febe49276a.jpg,یک تریر بوستون روی چمن های سرسبز سبز جلوی حصار سفید در حال اجرا است.
1009434119_febe49276a.jpg,یک سگ روی چمن سبز در نزدیکی یک حصار چوبی اجرا می شود.
1012212859_01547e3f17.jpg,"""یک سگ سر خود را در نزدیکی ساحل تکان می دهد ، یک توپ قرمز در کنار آن."""
1012212859_01547e3f17.jpg,یک سگ سفید در لبه ساحل با یک توپ نارنجی تکان می خورد.
1012212859_01547e3f17.jpg,"""سگ با توپ نارنجی در پاها ، در ساحل ایستاده است که آب را لرزاند"""
1012212859_01547e3f17.jpg,سگ سفید با یک توپ قرمز در ساحل در نزدیکی آب بازی می کند.
1012212859_01547e3f17.jpg,سگ سفید با گوش های قهوه ای که در نزدیکی آب ایستاده است با سر به یک طرف تبدیل شده است.
1015118661_980735411b.jpg,پسری در مقابل دیوار سنگی در یک شهر لبخند می زند.
1015118661_980735411b.jpg,یک پسر کوچک در خیابان ایستاده است در حالی که مردی در لباس روی یک دیوار سنگی کار می کند.
1015118661_980735411b.jpg,یک پسر جوان در خیابان می گذرد.
1015118661_980735411b.jpg,یک کودک خردسال در حال قدم زدن در خیابان سنگفرش سنگی با قطب فلزی و مردی در پشت سر او است.
1015118661_980735411b.jpg,پسری خندان با پیراهن سفید و شلوار جین آبی در مقابل دیوار راک با مرد در لباسهای پشت سر او.
1015584366_dfcec3c85a.jpg,یک سگ سیاه از روی یک سیاهه جهش می کند.
1015584366_dfcec3c85a.jpg,یک سگ خاکستری در حال جهش بر روی یک درخت افتاده است.
1015584366_dfcec3c85a.jpg,یک سگ سیاه بزرگ یک ورود به سیستم افتاده است.
1015584366_dfcec3c85a.jpg,یک سگ سیاه و خاکستری لکه دار در یقه آبی که از روی یک درخت افتاده پرش کرده است.
1015584366_dfcec3c85a.jpg,سگ سیاه پرش از درخت پرید.
101654506_8eb26cfb60.jpg,یک سگ قهوه ای و سفید در حال عبور از برف است.
101654506_8eb26cfb60.jpg,یک سگ در برف در حال دویدن است
101654506_8eb26cfb60.jpg,سگی در حال عبور از برف.
101654506_8eb26cfb60.jpg,یک سگ سفید و قهوه ای از طریق یک میدان پوشیده از برف در حال عبور است.
101654506_8eb26cfb60.jpg,سگ سفید و قهوه ای روی سطح برف در حال اجرا است.
101669240_b2d3e7f17b.jpg,یک مرد در یک کلاه در حال نمایش تصاویر در کنار یک اسکی باز در یک کلاه آبی است.
101669240_b2d3e7f17b.jpg,مردی از مرد دیگری که در حال نمایش نقاشی در برف است ، اسکی می کند.
101669240_b2d3e7f17b.jpg,شخصی که اسکی را پوشیده از تصاویر قاب تنظیم شده در برف است.
101669240_b2d3e7f17b.jpg,یک اسکی باز به تصاویر قاب شده در برف کنار درختان نگاه می کند.
101669240_b2d3e7f17b.jpg,مرد در اسکی که به دنبال آثار هنری برای فروش در برف است
1016887272_03199f49c4.jpg,کولاژ یک نفر که از صخره صعود می کند.
1016887272_03199f49c4.jpg,گروهی از مردم در حال صعود از یک دیوار صخره نوردی هستند.
1016887272_03199f49c4.jpg,گروهی از مردم که در حال صعود از صخره هستند در حالی که یک مرد محاصره می کند
1016887272_03199f49c4.jpg,هفت کوهنورد در حال صعود از چهره سنگی هستند در حالی که مرد دیگری که طناب را در دست دارد.
1016887272_03199f49c4.jpg,چندین کوهنورد پشت سر هم در حال صعود از صخره هستند در حالی که مرد در ساعت های قرمز و خط را نگه می دارد.
1019077836_6fc9b15408.jpg,یک سگ قهوه ای آب را از آبپاش روی چمن تعقیب می کند.
1019077836_6fc9b15408.jpg,یک سگ قهوه ای با شیلنگ بازی می کند.
1019077836_6fc9b15408.jpg,یک سگ قهوه ای که روی چمن در نزدیکی شیلنگ باغ که در حال دویدن است
1019077836_6fc9b15408.jpg,یک سگ با شیلنگ بازی می کند.
1019077836_6fc9b15408.jpg,سگ قهوه ای بزرگ که از آبپاش در چمن فرار می کند.
1019604187_d087bf9a5f.jpg,یک سگ آماده می شود تا یک شیء پرتاب شده را در یک مزرعه با اتومبیل های مجاور بگیرد.
1019604187_d087bf9a5f.jpg,یک سگ سفید در حال گرفتن توپ زرد در دهان است.
1019604187_d087bf9a5f.jpg,یک سگ سفید در حال گرفتن یک اسباب بازی سگ زرد است.
1019604187_d087bf9a5f.jpg,یک سگ سفید آماده است تا یک توپ زرد را که از طریق هوا پرواز می کند ، بگیرد.
1019604187_d087bf9a5f.jpg,یک سگ سفید که بعد از یک توپ زرد در حال اجرا است
1020651753_06077ec457.jpg,یک سگ سیاه و سفید که در هوا می پرید تا یک اسباب بازی بدست آورد.
1020651753_06077ec457.jpg,یک سگ سیاه و سفید به سمت یک اسباب بازی زرد پرش می کند.
1020651753_06077ec457.jpg,یک سگ برای گرفتن توپ در یک زمین می پرید.
1020651753_06077ec457.jpg,یک سگ سفید در تلاش است تا توپ را در میانه بر روی یک میدان چمن زنی بگیرد.
1020651753_06077ec457.jpg,سگ سفید در یک میدان سبز با یک اسباب بازی زرد بازی می کند.
1022454332_6af2c1449a.jpg,یک کودک و یک زن در یک شهر بزرگ در واترز لبه هستند.
1022454332_6af2c1449a.jpg,یک دریاچه بزرگ با یک اردک تنها که در آن با چند نفر در حاشیه آن شنا می کند.
1022454332_6af2c1449a.jpg,یک پسر کوچک در دریاچه در حال تماشای یک اردک.
1022454332_6af2c1449a.jpg,یک پسر جوان دست خود را در آب اردک در آب احاطه شده توسط یک پارک سبز موج می زند.
1022454332_6af2c1449a.jpg,"""دو نفر در حاشیه دریاچه هستند که رو به آب و افق شهر قرار دارند."""
1022454428_b6b660a67b.jpg,"""یک زن و شوهر و یک شیرخوار که توسط مرد نگه داشته می شوند ، در کنار یک حوضچه با یک قدم زدن در نزدیکی یک حوضچه نشسته اند."""
1022454428_b6b660a67b.jpg,یک زن و شوهر با یک کودک و پرسه زن روی چمن می نشینند.
1022454428_b6b660a67b.jpg,یک زن و شوهر با نوزاد تازه متولد شده خود در زیر درختی که رو به دریاچه نشسته اند.
1022454428_b6b660a67b.jpg,یک زن و مرد از یک نوزاد در کنار بدن آب مراقبت می کنند.
1022454428_b6b660a67b.jpg,زن و شوهر با یک کودک در خارج از منزل در کنار قدم زدن خود می نشینند.
1022975728_75515238d8.jpg,یک سگ سیاه که در گشت و گذار در حال اجرا است.
1022975728_75515238d8.jpg,یک آزمایشگاه سیاه با برچسب های موجود در آب.
1022975728_75515238d8.jpg,یک سگ در آب پاشیده می شود
1022975728_75515238d8.jpg,سگ سیاه از طریق آب عبور می کند.
1022975728_75515238d8.jpg,این یک سگ سیاه است که در آب پاشیده می شود.
102351840_323e3de834.jpg,مردی که در یخ سوراخ می کند.
102351840_323e3de834.jpg,مردی در حال حفاری از یخ یخ زده یک حوضچه است.
102351840_323e3de834.jpg,شخصی در برف که سوراخ در یخ را حفر می کند.
102351840_323e3de834.jpg,شخصی که روی دریاچه یخ زده ایستاده است.
102351840_323e3de834.jpg,دو مرد ماهیگیری در یخ هستند.
1024138940_f1fefbdce1.jpg,دو نژاد مختلف سگ های قهوه ای و سفید در ساحل بازی می کنند.
1024138940_f1fefbdce1.jpg,دو سگ در حال چرخش یک ساحل شن و ماسه نرم هستند.
1024138940_f1fefbdce1.jpg,دو سگ در ماسه در ساحل بازی می کنند.
1024138940_f1fefbdce1.jpg,دو سگ با هم در ساحل بازی می کنند.
1024138940_f1fefbdce1.jpg,دو سگ برنزه بزرگ در امتداد یک ساحل شنی بازی می کنند.
102455176_5f8ead62d5.jpg,یک مرد برای مقیاس یخ از یخ و کرامپون استفاده می کند.
102455176_5f8ead62d5.jpg,یک کوهنورد یخ در یک ژاکت آبی و شلوار سیاه در حال مقیاس یک دیوار یخ یخ زده است.
102455176_5f8ead62d5.jpg,یک کوهنورد یخ که یک آبشار یخ زده را مقیاس می دهد.
102455176_5f8ead62d5.jpg,شخصی با یخ آبی و قرمز با دو انتخاب صعود می کند.
102455176_5f8ead62d5.jpg,کوهنورد در حال صعود از یک دیوار یخ
1026685415_0431cbf574.jpg,یک سگ سیاه هنگام قدم زدن در چمن ، یک اسباب بازی سبز در دهان خود حمل می کند.
1026685415_0431cbf574.jpg,یک سگ سیاه که چیزی را از طریق چمن حمل می کند.
1026685415_0431cbf574.jpg,یک سگ سیاه یک اسباب بازی آبی در دهان خود دارد.
1026685415_0431cbf574.jpg,یک سگ در چمن با یک ماده آبی در دهان خود.
1026685415_0431cbf574.jpg,یک سگ سیاه مرطوب در حال حمل یک اسباب بازی سبز از طریق چمن است.
1028205764_7e8df9a2ea.jpg,یک مرد و یک کودک در یک کایاک زرد روی آب قرار دارند.
1028205764_7e8df9a2ea.jpg,یک مرد و یک پسر کوچک در کاپشن های زندگی آبی در حال قایقرانی قایق رانی زرد هستند.
1028205764_7e8df9a2ea.jpg,یک مرد و کودک کایاک از طریق آبهای ملایم.
1028205764_7e8df9a2ea.jpg,یک مرد و پسر جوان در کایاک زرد سوار می شوند.
1028205764_7e8df9a2ea.jpg,مرد و کودک در کایاک زرد
1030985833_b0902ea560.jpg,یک سگ سیاه و یک سگ قهوه ای برای گرفتن یک اسباب بازی قرمز در حال پرش هستند.
1030985833_b0902ea560.jpg,یک سگ سیاه و یک سگ قهوه ای با یک اسباب بازی قرمز در حیاط بازی می کنند.
1030985833_b0902ea560.jpg,یک آزمایشگاه قهوه ای و سیاه در خارج است و آزمایشگاه سیاه در حال گرفتن یک اسباب بازی در دهان خود است.
1030985833_b0902ea560.jpg,سگ سیاه به عنوان لانگ سگ قهوه ای به شیء قرمز و سیاه می خورد.
1030985833_b0902ea560.jpg,آزمایشگاه شکلات خیلی دیر پرش می کند تا اسباب بازی را بدست آورد زیرا آزمایشگاه سیاه آن را در جاده سوار می کند.
103106960_e8a41d64f8.jpg,پسری با چوب زانو در مقابل یک دروازه دروازه
103106960_e8a41d64f8.jpg,کودکی در یک ژاکت قرمز که هاکی خیابانی با محافظت از یک گل بازی می کند.
103106960_e8a41d64f8.jpg,یک کودک خردسال در یک پستان هاکی دروازه بان را بازی می کند.
103106960_e8a41d64f8.jpg,یک مرد جوان که در مقابل یک گل هاکی با یک چوب هاکی در دست راست خود زانو می زند.
103106960_e8a41d64f8.jpg,"""پسر دروازه بان هاکی در ژاکت قرمز با گل ، با چوب."""
103195344_5d2dc613a3.jpg,مردی به رنگ سیاه در کنار یک ساختار هنری مدرن در مقابل یک ساختمان شیشه ای نشسته است.
103195344_5d2dc613a3.jpg,مردی در خارج از ساختمان اداری نشسته و می خواند و یک روزنامه را می خواند.
103195344_5d2dc613a3.jpg,یک مرد در نزدیکی یک مجسمه بزرگ قرار دارد.
103195344_5d2dc613a3.jpg,مردی که جلوی یک مجسمه فلزی در مقابل یک ساختمان نشسته است.
103195344_5d2dc613a3.jpg,این مرد با کوله پشتی در یک حیاط ساختمان در مقابل یک مجسمه هنری نشسته است.
103205630_682ca7285b.jpg,چادر روی یخ تنظیم می شود.
103205630_682ca7285b.jpg,دو مرد قصد دارند در یک دریاچه پوشیده از برف وارد یک چادر ماهیگیری یخ شوند.
103205630_682ca7285b.jpg,دو مرد که یک کلبه ماهیگیری در یخ آبی را بر روی دریاچه یخ زده راه اندازی می کنند
103205630_682ca7285b.jpg,"""دو مرد ، روی یخ ایستاده بودند و به چیزی پوشانده شده با یک تار آبی نگاه می کردند."""
103205630_682ca7285b.jpg,دو نفر که در خارج از یک ساختار چادر آبی روی یک سطح برفی ایستاده اند.
